date,description,amount
2026-03-01,Swiggy biryani order,280
2026-03-01,Uber ride to college,95
2026-03-02,Amazon earphones,1299
2026-03-02,Netflix monthly plan,499
2026-03-03,Pharmacy paracetamol,45
2026-03-03,Jio prepaid recharge,239
2026-03-04,Dominos pizza night,450
2026-03-04,BookMyShow movie ticket,320
2026-03-05,Udemy Python course,399
2026-03-05,Petrol refill,500
2026-03-06,Zomato lunch delivery,180
2026-03-06,OYO room weekend stay,1200
2026-03-07,Myntra shirt purchase,799
2026-03-07,Cult.fit gym session,600
2026-03-08,BigBasket groceries,1100
2026-03-08,Metro card top-up,200
2026-03-09,Electricity bill payment,850
2026-03-09,Starbucks coffee,350
2026-03-10,Flipkart earbuds,999
2026-03-10,Doctor consultation fee,300
2026-03-11,Rapido bike ride,55
2026-03-11,Coursera certificate,2999
2026-03-12,KFC family bucket,700
2026-03-12,Spotify premium,119
2026-03-13,Bus pass renewal,150
2026-03-13,1mg medicine order,220
2026-03-14,MakeMyTrip hotel booking,3500
2026-03-14,Airtel postpaid bill,399
2026-03-15,Nykaa skincare order,650
2026-03-15,Zara outfit mall,2200
2026-03-16,Swiggy breakfast,160
2026-03-16,Ola cab to station,180
2026-03-17,Amazon Prime renewal,1499
2026-03-17,Apollo pharmacy visit,340
2026-03-18,Blinkit grocery run,870
2026-03-18,IndiGo flight ticket,4200
2026-03-19,YouTube Premium,189
2026-03-19,Reliance Digital speaker,1899
2026-03-20,Canteen lunch,90
2026-03-20,IRCTC train ticket,560
2026-03-21,Hotstar subscription,299
2026-03-21,Water bill,180
2026-03-22,Meesho kurta order,499
2026-03-22,Practo doctor appointment,400
2026-03-23,Juice bar,80
2026-03-23,Parking fee,50
2026-03-24,edX online course,1999
2026-03-24,Gas cylinder booking,950
2026-03-25,PVR cinema tickets,640
2026-03-25,Treebo hotel stay,2100
