description,category
Swiggy order,Food & Dining
Zomato delivery,Food & Dining
McDonald's,Food & Dining
Dominos pizza,Food & Dining
KFC bucket meal,Food & Dining
Subway sandwich,Food & Dining
Restaurant dinner,Food & Dining
Cafe coffee,Food & Dining
Starbucks latte,Food & Dining
Lunch at canteen,Food & Dining
Grocery store,Food & Dining
BigBasket order,Food & Dining
Blinkit groceries,Food & Dining
Milk and bread,Food & Dining
Street food,Food & Dining
Pizza hut order,Food & Dining
Burger King meal,Food & Dining
Ice cream parlour,Food & Dining
Juice bar,Food & Dining
Bakery items,Food & Dining
Uber ride,Transport
Ola cab,Transport
Rapido bike,Transport
Auto rickshaw,Transport
Bus ticket,Transport
Metro card recharge,Transport
Petrol pump,Transport
Fuel refill,Transport
Train ticket,Transport
Flight booking,Transport
Taxi fare,Transport
Parking fee,Transport
Toll charge,Transport
InDrive trip,Transport
BluSmart cab,Transport
BMTC bus pass,Transport
IRCTC train,Transport
SpiceJet flight,Transport
IndiGo ticket,Transport
Cab to airport,Transport
Amazon order,Shopping
Flipkart purchase,Shopping
Myntra clothes,Shopping
Ajio outfit,Shopping
Meesho order,Shopping
Nykaa cosmetics,Shopping
Shoes purchase,Shopping
T-shirt buy,Shopping
Jeans from mall,Shopping
Electronics store,Shopping
Book purchase,Shopping
Stationary shop,Shopping
Home decor item,Shopping
Croma gadget,Shopping
Reliance Digital,Shopping
Snitch clothing,Shopping
Westside apparel,Shopping
H&M purchase,Shopping
Zara outfit,Shopping
Furniture order,Shopping
Netflix subscription,Entertainment
Hotstar premium,Entertainment
Amazon Prime,Entertainment
Spotify music,Entertainment
Movie tickets,Entertainment
BookMyShow,Entertainment
PVR cinemas,Entertainment
Gaming top-up,Entertainment
Steam game,Entertainment
YouTube Premium,Entertainment
Disney+ Hotstar,Entertainment
SonyLIV subscription,Entertainment
Zee5 plan,Entertainment
Concert tickets,Entertainment
Amusement park,Entertainment
PS5 game,Entertainment
PUBG UC purchase,Entertainment
Ludo tournament,Entertainment
Chess app premium,Entertainment
Theme park entry,Entertainment
Pharmacy medicine,Health
Apollo pharmacy,Health
Doctor consultation,Health
Hospital bill,Health
MedPlus store,Health
1mg order,Health
Practo appointment,Health
Gym membership,Health
Cult.fit session,Health
Yoga class,Health
Fitness tracker,Health
Eye checkup,Health
Dental clinic,Health
Blood test,Health
Health insurance,Health
Vitamins supplement,Health
Protein powder,Health
Physio session,Health
Lab test fee,Health
Ambulance charge,Health
Udemy course,Education
Coursera subscription,Education
College fee,Education
Tuition payment,Education
Exam registration,Education
Books for class,Education
LinkedIn Learning,Education
NPTEL certificate,Education
Coding bootcamp,Education
Skill India course,Education
Online tutorial,Education
Test series fee,Education
Library membership,Education
Study material,Education
Workshop fee,Education
edX course,Education
Internshala course,Education
Unacademy plan,Education
BYJU'S subscription,Education
Khan Academy donate,Education
Electricity bill,Utilities & Bills
Water bill,Utilities & Bills
Internet recharge,Utilities & Bills
Jio recharge,Utilities & Bills
Airtel plan,Utilities & Bills
BSNL bill,Utilities & Bills
Gas cylinder,Utilities & Bills
DTH recharge,Utilities & Bills
Tata Sky renewal,Utilities & Bills
Mobile bill,Utilities & Bills
Broadband bill,Utilities & Bills
LPG booking,Utilities & Bills
Postpaid bill,Utilities & Bills
OTT bundle bill,Utilities & Bills
Cable TV bill,Utilities & Bills
Vi recharge,Utilities & Bills
MSEB electricity,Utilities & Bills
Society maintenance,Utilities & Bills
Property tax,Utilities & Bills
Water tanker,Utilities & Bills
Hotel booking,Travel & Stays
MakeMyTrip hotel,Travel & Stays
OYO room,Travel & Stays
Airbnb stay,Travel & Stays
Goibibo trip,Travel & Stays
Holiday package,Travel & Stays
Hostel stay,Travel & Stays
Resort booking,Travel & Stays
Trip expenses,Travel & Stays
Sightseeing tour,Travel & Stays
Treebo hotel,Travel & Stays
FabHotels stay,Travel & Stays
Visa fee,Travel & Stays
Travel insurance,Travel & Stays
Yatra booking,Travel & Stays
EaseMyTrip flight,Travel & Stays
Weekend getaway,Travel & Stays
Camping gear rent,Travel & Stays
Museum entry,Travel & Stays
Tour guide fee,Travel & Stays
